kmer frequency	Number of kmers int his category
1756	3
1757	3
1758	6
1759	2
1760	7
1761	9
1762	1
1763	10
1764	6
1765	5
1766	4
1767	1
1768	3
1769	2
1770	5
1771	5
1772	6
1773	4
1774	7
1775	5
1776	5
1777	5
1778	6
1779	4
1780	1
1781	4
1782	2
1783	4
1784	2
1785	4
1786	10
1787	7
1788	2
1789	3
1790	3
1791	2
1792	6
1793	4
1794	5
1795	4
1796	5
1797	6
1798	2
1799	6
1800	3
1801	3
1802	4
1803	4
1804	4
1805	3
1806	3
1807	1
1808	2
1809	4
1810	3
1811	4
1812	4
1813	2
1814	4
1815	7
1816	2
1817	6
1818	4
1819	3
1820	3
1821	5
1822	2
1823	5
1824	4
1825	1
1826	4
1827	5
1828	2
1829	2
1830	7
1831	2
1832	6
1833	1
1834	2
1835	2
1836	2
1837	1
1838	11
1839	8
1840	1
1841	5
1842	8
1843	4
1844	5
1845	3
1846	3
1847	4
1849	3
1850	5
1851	7
1852	2
1853	5
1854	5
1855	5
1856	1
1857	8
1858	3
1859	8
1860	8
1861	9
1862	7
1863	4
1864	5
1865	2
1866	2
1867	4
1868	3
1869	1
1870	3
1871	2
1872	6
1873	3
1874	3
1875	2
1876	5
1877	6
1878	8
1879	4
1880	2
1881	4
1882	4
1883	1
1884	8
1885	3
1886	6
1887	2
1888	8
1889	4
1890	5
1891	7
1892	9
1893	3
1894	4
1895	2
1896	6
1897	6
1898	4
1899	6
1900	6
1901	4
1902	2
1904	8
1905	4
1906	6
1907	4
1908	4
1909	3
1910	1
1911	5
1912	4
1913	8
1914	6
1915	8
1916	5
1917	8
1918	4
1919	6
1920	5
1921	4
1922	6
1923	6
1924	2
1925	4
1926	8
1927	4
1928	3
1929	3
1930	3
1931	5
1932	3
1933	1
1934	4
1935	3
1936	3
1937	1
1938	3
1939	4
1940	5
1941	6
1942	9
1943	5
1944	5
1945	2
1946	3
1947	4
1948	3
1949	6
1950	3
1951	2
1952	5
1953	9
1954	8
1955	2
1956	3
1957	1
1958	2
1959	3
1960	4
1961	3
1962	5
1963	5
1964	7
1965	3
1966	4
1967	4
1968	5
1969	5
1970	7
1971	6
1972	5
1973	6
1974	2
1975	2
1976	6
1977	7
1978	3
1979	3
1980	4
1981	2
1982	5
1983	4
1984	2
1985	7
1986	4
1987	10
1988	4
1989	4
1990	7
1991	5
1992	3
1993	3
1994	2
1995	5
1996	2
1997	5
1998	2
1999	6
2000	7
2001	2
2002	3
2003	4
2004	5
2005	2
2006	2
2007	4
2008	4
2009	4
2010	1
2011	3
2012	4
2013	6
2014	1
2015	2
2016	5
2017	4
2018	3
2019	2
2020	3
2021	4
2022	3
2023	1
2024	3
2025	6
2026	2
2027	3
2028	2
2029	7
2030	5
2031	5
2032	2
2033	1
2035	2
2037	1
2038	4
2041	3
2042	4
2043	5
2045	3
2046	6
2047	6
2048	1
2049	4
2050	4
2051	4
2052	1
2053	5
2054	6
2055	8
2056	2
2057	4
2058	6
2059	3
2060	4
2061	6
2062	4
2063	4
2064	2
2065	5
2066	8
2067	4
2068	3
2069	3
2070	3
2071	3
2072	3
2073	3
2074	5
2076	3
2077	6
2078	6
2079	2
2080	2
2081	1
2082	4
2083	3
2085	5
2086	4
2087	4
2088	4
2089	2
2090	4
2091	3
2092	3
2093	9
2094	3
2095	2
2096	5
2097	5
2098	7
2099	5
2100	4
2101	3
2102	3
2103	4
2104	1
2105	3
2106	5
2107	7
2108	2
2109	4
2110	4
2112	4
2113	5
2114	4
2115	2
2116	2
2117	3
2118	5
2119	3
2120	3
2121	5
2122	4
2123	1
2124	2
2125	2
2126	2
2127	5
2129	2
2131	5
2132	3
2134	4
2135	4
2136	3
2137	4
2138	5
2139	7
2140	2
2141	8
2142	4
2143	2
2144	2
2145	1
2146	4
2147	3
2148	4
2149	4
2150	1
2151	3
2152	4
2153	4
2154	6
2155	3
2156	4
2157	1
2158	4
2159	2
2160	3
2161	6
2162	4
2163	6
2164	3
2165	4
2166	5
2167	3
2168	5
2169	3
2170	5
2171	5
2172	5
2173	4
2174	3
2175	6
2176	2
2177	6
2178	4
2179	6
2180	3
2181	4
2182	3
2183	4
2184	4
2185	3
2186	4
2187	2
2188	2
2189	3
2190	4
2191	5
2192	7
2193	7
2194	1
2195	4
2196	1
2197	2
2198	2
2199	4
2200	3
2201	5
2202	4
2203	2
2204	6
2205	3
2206	3
2207	4
2208	3
2209	3
2210	4
2211	5
2212	1
2213	2
2214	1
2215	3
2216	5
2217	6
2218	2
2219	5
2220	3
2221	1
2222	1
2223	2
2224	1
2225	1
2226	4
2227	4
2228	6
2229	3
2230	2
2231	2
2232	5
2233	4
2234	2
2235	2
2236	1
2237	5
2238	2
2239	3
2240	5
2241	3
2242	1
2243	2
2244	2
2245	7
2246	2
2247	6
2248	3
2249	2
2250	4
2251	2
2252	2
2253	3
2254	2
2255	5
2256	3
2257	5
2258	3
2259	4
2260	1
2261	2
2262	4
2263	4
2264	9
2265	3
2266	2
2267	6
2268	6
2269	4
2270	5
2271	1
2272	2
2273	3
2274	4
2275	2
2276	2
2277	4
2278	1
2279	6
2280	1
2281	5
2282	6
2283	10
2284	4
2285	3
2286	2
2287	5
2288	2
2289	4
2290	5
2291	3
2292	4
2293	7
2294	2
2295	4
2296	3
2297	6
2298	5
2299	4
2300	2
2301	4
2302	4
2303	2
2305	4
2306	7
2307	6
2308	1
2309	6
2310	8
2311	1
2312	2
2313	6
2314	5
2315	2
2316	7
2317	1
2318	2
2319	7
2320	5
2321	5
2322	4
2323	2
2324	3
2325	5
2326	2
2327	4
2328	4
2329	4
2330	3
2331	7
2332	3
2333	3
2334	5
2335	3
2336	2
2337	4
2338	4
2339	3
2340	3
2341	4
2342	1
2343	1
2344	4
2345	7
2346	5
2347	3
2348	3
2349	7
2350	1
2351	3
2352	7
2353	3
2354	4
2355	3
2356	4
2357	8
2358	9
2359	3
2360	6
2361	5
2362	5
2363	1
2364	6
2365	1
2366	4
2367	1
2368	2
2369	8
2370	1
2371	2
2372	8
2373	3
2374	3
2375	6
2376	5
2377	2
2378	6
2379	2
2380	6
2381	8
2382	7
2383	2
2384	1
2385	3
2386	2
2387	6
2388	6
2389	1
2390	3
2391	2
2392	5
2393	1
2394	4
2395	6
2396	5
2397	6
2398	6
2399	4
2401	5
2402	5
2403	5
2404	1
2405	1
2406	3
2407	3
2409	4
2410	6
2411	5
2412	2
2414	5
2415	4
2416	5
2417	4
2418	4
2419	4
2420	3
2421	5
2422	6
2423	5
2424	8
2425	5
2426	2
2427	3
2428	7
2429	4
2430	2
2431	2
2432	5
2433	5
2434	7
2435	2
2436	3
2437	5
2438	2
2439	6
2440	3
2441	1
2442	3
2443	6
2444	1
2445	5
2446	2
2447	6
2448	3
2449	2
2451	1
2452	2
2453	4
2454	4
2455	4
2456	2
2457	2
2458	4
2459	2
2460	1
2461	2
2462	5
2464	4
2465	3
2466	1
2467	4
2468	3
2469	4
2470	2
2471	3
2472	6
2473	2
2474	2
2475	4
2476	3
2477	4
2478	2
2479	3
2480	3
2481	1
2482	6
2483	2
2485	3
2486	5
2487	2
2488	3
2489	3
2490	5
2491	2
2492	3
2493	3
2494	4
2495	4
2496	3
2497	4
2498	4
2499	3
2501	4
2502	7
2503	4
2504	4
2505	1
2506	2
2508	4
2509	4
2510	2
2511	1
2512	3
2513	4
2514	3
2515	4
2516	1
2517	5
2518	3
2519	4
2520	4
2521	2
2522	5
2523	6
2524	2
2525	3
2527	1
2528	3
2529	6
2530	2
2531	2
2532	1
2533	3
2534	4
2535	1
2536	1
2537	1
2538	1
2539	2
2540	5
2541	5
2542	4
2543	4
2544	5
2545	4
2546	2
2547	4
2548	3
2549	3
2550	6
2551	3
2552	1
2553	5
2554	1
2555	1
2556	2
2557	1
2558	2
2559	1
2560	1
2561	4
2562	4
2563	3
2564	1
2565	5
2566	2
2567	2
2568	6
2569	2
2570	7
2571	4
2572	4
2573	3
2574	4
2575	4
2576	1
2578	4
2579	2
2580	3
2581	4
2582	2
2583	1
2584	1
2585	2
2586	1
2587	5
2588	3
2589	2
2590	2
2591	3
2592	3
2593	6
2594	1
2595	3
2596	3
2598	2
2599	3
2600	3
2601	3
2602	4
2603	2
2604	2
2608	4
2609	1
2610	1
2611	1
2612	2
2613	1
2614	2
2615	2
2616	3
2617	4
2618	1
2619	4
2620	4
2621	5
2622	5
2623	4
2624	5
2625	2
2626	2
2627	2
2628	3
2629	3
2630	1
2631	2
2632	3
2634	4
2635	2
2637	1
2638	6
2639	4
2640	1
2641	1
2642	5
2643	3
2644	1
2646	2
2648	2
2649	3
2650	1
2651	1
2652	3
2653	3
2654	1
2656	3
2657	2
2658	3
2659	2
2660	1
2661	2
2662	3
2663	2
2664	3
2665	3
2666	2
2668	2
2670	6
2671	5
2672	3
2674	3
2676	1
2677	3
2678	3
2679	3
2680	1
2681	3
2682	3
2683	3
2684	5
2685	2
2687	1
2688	7
2689	2
2690	3
2692	1
2693	1
2694	4
2695	2
2697	6
2698	1
2699	3
2700	1
2701	1
2702	4
2703	2
2704	1
2705	3
2706	2
2707	1
2708	3
2709	3
2710	1
2711	4
2712	1
2714	1
2715	2
2716	2
2717	5
2719	3
2720	3
2721	1
2722	2
2724	1
2725	3
2726	3
2727	2
2728	1
2729	2
2730	3
2731	2
2732	1
2733	2
2734	4
2735	4
2737	1
2738	3
2739	2
2740	2
2741	3
2742	4
2743	4
2744	2
2745	1
2746	4
2747	1
2748	1
2749	3
2750	3
2751	1
2752	2
2753	2
2754	4
2755	1
2756	1
2757	1
2758	5
2759	3
2760	3
2761	2
2763	2
2764	1
2765	3
2766	2
2767	1
2768	1
2769	1
2770	1
2771	1
2773	3
2774	5
2775	1
2776	1
2777	4
2778	2
2779	3
2780	3
2781	4
2782	4
2783	2
2784	1
2785	1
2786	3
2787	1
2788	7
2789	4
2790	2
2793	1
2796	3
2797	1
2798	2
2799	1
2800	6
2801	2
2802	1
2803	2
2804	2
2805	1
2806	4
2807	2
2808	4
2809	4
2810	2
2811	4
2812	1
2813	2
2814	1
2816	1
2818	2
2819	3
2820	1
2821	2
2822	1
2823	5
2824	2
2826	1
2827	2
2829	1
2830	4
2833	2
2835	3
2836	1
2837	5
2838	2
2840	2
2841	2
2842	1
2844	2
2845	1
2846	1
2848	2
2849	1
2850	1
2851	1
2852	1
2855	2
2856	1
2857	3
2859	4
2860	3
2861	1
2862	1
2865	1
2866	1
2867	1
2868	4
2869	1
2870	1
2871	2
2872	1
2874	1
2875	1
2876	3
2877	2
2878	4
2879	1
2880	2
2881	2
2882	4
2883	3
2884	3
2885	1
2886	2
2887	3
2888	3
2890	1
2891	1
2892	2
2893	2
2894	2
2896	3
2899	1
2900	2
2901	2
2902	4
2903	2
2905	2
2906	1
2908	1
2909	2
2910	3
2913	5
2914	2
2915	2
2916	3
2917	2
2919	2
2922	1
2923	1
2925	3
2927	3
2928	5
2929	1
2930	3
2931	1
2933	2
2934	1
2935	1
2936	3
2937	1
2939	1
2940	2
2941	1
2942	2
2944	1
2945	1
2946	2
2947	2
2948	2
2949	2
2950	2
2951	1
2952	2
2953	5
2955	1
2956	1
2958	2
2959	1
2960	1
2961	2
2962	2
2963	2
2964	1
2965	4
2967	3
2969	1
2970	1
2973	1
2974	2
2975	4
2976	2
2977	2
2979	1
2981	1
2982	1
2983	1
2985	2
2986	1
2987	3
2988	1
2989	1
2990	1
2991	2
2992	1
2994	1
2995	3
2996	2
2997	1
2998	1
3000	3
3001	2
3004	2
3005	3
3007	2
3008	1
3009	5
3010	2
3012	2
3017	3
3018	1
3019	1
3020	1
3021	2
3022	3
3023	1
3024	2
3025	1
3028	3
3030	2
3031	3
3032	1
3033	1
